term,entity,must_have,case
Allele Frequency Net,DATABASE,,0
BioGrid,DATABASE,,1
Clinical Pharmacogenetics Implementation Consortium,DATABASE,,0
ClinVar,DATABASE,,0
CPNDS,DATABASE,data,1
DME Pharmacogenomics,DATABASE,,0
Dutch Pharmacogenetics Working Group,DATABASE,,0
Gene Ontology,DATABASE,,0
Genetic Testing Registry,DATABASE,,0
GenoDB,DATABASE,,0
GenomAD,DATABASE,,0
GEO,DATABASE,data,1
GO,DATABASE,data,1
HapMap,DATABASE,,0
Hugo Gene,DATABASE,,0
KEGG,DATABASE,,0
LOKI,DATABASE,,1
Medgen,DATABASE,,0
MINT,DATABASE,data,1
NCBI,DATABASE,,0
Pfam,DATABASE,,0
PFS,DATABASE,data,0
PharmGKB,DATABASE,,0
UCSC Genome Browser,DATABASE,,0
Uniprot,DATABASE,,0
artificial intelligence,ANALYTICAL_METHOD,,0
Bayesian network,ANALYTICAL_METHOD,,0
boosted regression tree,ANALYTICAL_METHOD,,0
Canonical correlation,ANALYTICAL_METHOD,,0
cart classification,ANALYTICAL_METHOD,,0
Causal inference methods,ANALYTICAL_METHOD,,0
conformational analysis,ANALYTICAL_METHOD,,0
Cox,ANALYTICAL_METHOD,model,0
CTDN,ANALYTICAL_METHOD,network,1
data mining,ANALYTICAL_METHOD,,0
decision tree,ANALYTICAL_METHOD,,0
dynamic residue,ANALYTICAL_METHOD,network,0
Elastic Net,ANALYTICAL_METHOD,,0
feature selection,ANALYTICAL_METHOD,,0
Firefly,ANALYTICAL_METHOD,techniques,0
generalized linear,ANALYTICAL_METHOD,model,0
Genetic association,ANALYTICAL_METHOD,,0
Grey Wolf,ANALYTICAL_METHOD,model,0
Hidden Markov,ANALYTICAL_METHOD,,0
hierarchical cluster,ANALYTICAL_METHOD,,0
Kaplan-Meier survival,ANALYTICAL_METHOD,,0
LASSO,ANALYTICAL_METHOD,,0
lasso regression,ANALYTICAL_METHOD,,0
Linear discriminant,ANALYTICAL_METHOD,,0
logistic regression,ANALYTICAL_METHOD,,0
machine learning,ANALYTICAL_METHOD,,0
molecular docking,ANALYTICAL_METHOD,,0
Monte Carlo,ANALYTICAL_METHOD,simulation,0
multi-layer feedforward neural,ANALYTICAL_METHOD,,0
multinomial logistic regression,ANALYTICAL_METHOD,,0
multivariate adaptive regression splines,ANALYTICAL_METHOD,,0
naive Bayes,ANALYTICAL_METHOD,,0
natural language processing,ANALYTICAL_METHOD,,0
Negative binomial regression,ANALYTICAL_METHOD,,0
neural Network,ANALYTICAL_METHOD,,0
non-negative matrix factorization,ANALYTICAL_METHOD,,0
PANCDR,ANALYTICAL_METHOD,model,0
Partial correlation,ANALYTICAL_METHOD,,0
partial least squares,ANALYTICAL_METHOD,,0
Permutation-based significance,ANALYTICAL_METHOD,,0
Principal component,ANALYTICAL_METHOD,,0
Quantitative trait locus,ANALYTICAL_METHOD,,0
