"The anaphylatoxin C3a has been reported to have immunomodulatory effects on a number of different cell types.", {"entities": [[ 18, 21, 'GENE_OR_GENE_PRODUCT']]}
"Rapid tyrosine phosphorylation of key cellular proteins is a crucial event in the transduction of activation signals to T-lymphocytes.", {"entities": [[ 6, 14, 'AMINO_ACID']]}
"CD14 is a membrane glycoprotein expressed specifically on monocytes and macrophages, and its expression is markedly increased during the process of monocyte differentiation.", {"entities": [[ 0, 4, 'GENE_OR_GENE_PRODUCT']]}
"CD14 is a membrane glycoprotein expressed specifically on monocytes and macrophages, and its expression is markedly increased during the process of monocyte differentiation.", {"entities": [[ 58, 66, 'CELL']]}
"CD14 is a membrane glycoprotein expressed specifically on monocytes and macrophages, and its expression is markedly increased during the process of monocyte differentiation.", {"entities": [[ 72, 82, 'CELL']]}
"CD14 is a membrane glycoprotein expressed specifically on monocytes and macrophages, and its expression is markedly increased during the process of monocyte differentiation.", {"entities": [[ 58, 66, 'CELL']]}
"CD14, a glycosylphosphatidylinositol-linked antigen, functions as an LPS signaling receptor.", {"entities": [[ 0, 4, 'GENE_OR_GENE_PRODUCT']]}
"A critical issue concerns the mechanism by which CD14, which has no transmembrane domain, transduces its signal following LPS binding.", {"entities": [[ 49, 53, 'GENE_OR_GENE_PRODUCT']]}
"Recently, investigators have hypothesized that CD14-mediated signaling is effected through a receptor-associated tyrosine kinase (TK), suggesting a multicomponent receptor model of LPS signaling.", {"entities": [[ 47, 51, 'GENE_OR_GENE_PRODUCT']]}
"The role of interleukin-11 (IL-11) was evaluated in the IgG immune complex model of acute lung injury in rats.", {"entities": [[ 12, 26, 'GENE_OR_GENE_PRODUCT']]}
"The role of interleukin-11 (IL-11) was evaluated in the IgG immune complex model of acute lung injury in rats.", {"entities": [[ 28, 33, 'GENE_OR_GENE_PRODUCT']]}
"Even a moderate increase in the cellular cysteine supply elevates the intracellular glutathione (GSH) and glutathione disulfide (GSSG) levels and potentiates immunological functions of lymphocytes in vitro.", {"entities": [[ 41, 49, 'AMINO_ACID']]}
"Even a moderate increase in the cellular cysteine supply elevates the intracellular glutathione (GSH) and glutathione disulfide (GSSG) levels and potentiates immunological functions of lymphocytes in vitro.", {"entities": [[ 185, 195, 'CELL']]}
"Because leukocyte-mediated tissue damage is an important component of the pathologic picture in ischemia/reperfusion, we have sought mechanisms by which PMNs are directed into hypoxic tissue.", {"entities": [[ 153, 156, 'CELL']]}
"The T cell surface molecule CD28 binds to ligands on accessory cells and APCs, playing an important costimulatory role in the response of T cells to Ags.", {"entities": [[ 28, 32, 'GENE_OR_GENE_PRODUCT']]}
"Positive-pressure mechanical ventilation supports gas exchange in patients with respiratory failure but is also responsible for significant lung injury.", {"entities": [[ 66, 73, 'ORGANISM']]}
"Positive-pressure mechanical ventilation supports gas exchange in patients with respiratory failure but is also responsible for significant lung injury.", {"entities": [[ 140, 144, 'ORGAN']]}
"A family of transcriptional activators has recently been identified in chickens; these transcriptional activators recognize a common consensus motif (WGATAR) through a conserved C4 zinc finger DNA-binding domain.", {"entities": [[ 71, 78, 'ORGANISM']]}
"High-dose estrogen administration induces anemia in mammals.", {"entities": [[ 52, 58, 'ORGANISM']]}
"NF-IL6 is an important transcriptional regulator of genes induced in activated monocytes/macrophages, and NF-IL6 is the only CCAAT/enhancer-binding protein (C/EBP) family member whose steady-state mRNA levels increase upon activation of monocytes (1).", {"entities": [[ 0, 6, 'GENE_OR_GENE_PRODUCT']]}
"Recently NF-kappaB has been shown to have both proapoptotic and antiapoptotic functions.", {"entities": [[ 9, 18, 'GENE_OR_GENE_PRODUCT']]}
"Here we show that blockade of NF-kappaB activity, using a dominant negative IkappaBalpha, has opposite effects on these two apoptotic signals.", {"entities": [[ 30, 39, 'GENE_OR_GENE_PRODUCT']]}
"IFN-gamma has potent antiproliferative and apoptotic effects in T cells that are important in determining T cell development and polarized differentiation.", {"entities": [[ 0, 9, 'GENE_OR_GENE_PRODUCT']]}
"They are rapidly activated by various cytokines, hormones, and growth factors.", {"entities": [[ 49, 56, 'SIMPLE_CHEMICAL']]}
"Monoclonal antibodies against either monomorphic or polymorphic determinants of class I antigen induced in PBMC and highly purified T lymphocytes the nuclear activity of NF-kappa B/Rel complexes.", {"entities": [[ 107, 111, 'CELL']]}
"We have examined the effect of cytokines on IL-2 deprivation-induced apoptosis of human antigen-specific T helper clones with different cytokine production profiles.", {"entities": [[ 44, 48, 'GENE_OR_GENE_PRODUCT']]}
"We found that IL-2, interferon-alpha (IFN-alpha), and IFN-beta inhibited IL-2 deprivation apoptosis in Th0, Th1, and Th2 clones.", {"entities": [[ 14, 18, 'GENE_OR_GENE_PRODUCT']]}
"We found that IL-2, interferon-alpha (IFN-alpha), and IFN-beta inhibited IL-2 deprivation apoptosis in Th0, Th1, and Th2 clones.", {"entities": [[ 20, 36, 'GENE_OR_GENE_PRODUCT']]}
"We found that IL-2, interferon-alpha (IFN-alpha), and IFN-beta inhibited IL-2 deprivation apoptosis in Th0, Th1, and Th2 clones.", {"entities": [[ 38, 47, 'GENE_OR_GENE_PRODUCT']]}
"We found that IL-2, interferon-alpha (IFN-alpha), and IFN-beta inhibited IL-2 deprivation apoptosis in Th0, Th1, and Th2 clones.", {"entities": [[ 54, 62, 'GENE_OR_GENE_PRODUCT']]}
"We found that IL-2, interferon-alpha (IFN-alpha), and IFN-beta inhibited IL-2 deprivation apoptosis in Th0, Th1, and Th2 clones.", {"entities": [[ 14, 18, 'GENE_OR_GENE_PRODUCT']]}
"We also found that IL-2 protects T cell clones from IL-2 deprivation apoptosis accompanying active proliferation and enhanced expression of P53, Rb and Bcl-xL proteins.", {"entities": [[ 19, 23, 'GENE_OR_GENE_PRODUCT']]}
"We also found that IL-2 protects T cell clones from IL-2 deprivation apoptosis accompanying active proliferation and enhanced expression of P53, Rb and Bcl-xL proteins.", {"entities": [[ 19, 23, 'GENE_OR_GENE_PRODUCT']]}
"We also found that IL-2 protects T cell clones from IL-2 deprivation apoptosis accompanying active proliferation and enhanced expression of P53, Rb and Bcl-xL proteins.", {"entities": [[ 140, 143, 'GENE_OR_GENE_PRODUCT']]}
"We also found that IL-2 protects T cell clones from IL-2 deprivation apoptosis accompanying active proliferation and enhanced expression of P53, Rb and Bcl-xL proteins.", {"entities": [[ 145, 147, 'GENE_OR_GENE_PRODUCT']]}
"IL-8, a potent chemotactic factor for neutrophil granulocytes and lymphocytes, is a proinflammatory cytokine secreted by a variety of cell types, including T cells.", {"entities": [[ 0, 4, 'GENE_OR_GENE_PRODUCT']]}
"The induction of cytokine expression in monocytes/macrophages by bacterial endotoxin or lipopolysaccharide is a critical, highly regulated host defence response.", {"entities": [[ 40, 48, 'CELL']]}
"The induction of cytokine expression in monocytes/macrophages by bacterial endotoxin or lipopolysaccharide is a critical, highly regulated host defence response.", {"entities": [[ 50, 60, 'CELL']]}
"Interleukin-5 (IL-5), which is produced by CD4(+) T helper 2 (Th2) cells, but not by Th1 cells, plays a key role in the development of eosinophilia in asthma.", {"entities": [[ 0, 13, 'GENE_OR_GENE_PRODUCT']]}
"Interleukin-5 (IL-5), which is produced by CD4(+) T helper 2 (Th2) cells, but not by Th1 cells, plays a key role in the development of eosinophilia in asthma.", {"entities": [[ 15, 19, 'GENE_OR_GENE_PRODUCT']]}
"CIITA is a positive regulator of class II major histocompatibility complex gene transcription that has been found to be defective in one of the five complementation groups of class II major histocompatibility complex-negative cell lines.", {"entities": [[ 0, 5, 'GENE_OR_GENE_PRODUCT']]}
"When monocytes are stimulated with LPS (lipopolysaccharide) repeatedly then the initially high expression of the TNF (tumor necrosis factor) gene is only very low, i.e. the cells are tolerant to LPS.", {"entities": [[ 5, 13, 'CELL']]}
"CD3, CD2, and CD28 are functionally distinct receptors on T lymphocytes.", {"entities": [[ 0, 3, 'GENE_OR_GENE_PRODUCT']]}
"CD3, CD2, and CD28 are functionally distinct receptors on T lymphocytes.", {"entities": [[ 5, 8, 'GENE_OR_GENE_PRODUCT']]}
"CD3, CD2, and CD28 are functionally distinct receptors on T lymphocytes.", {"entities": [[ 14, 18, 'GENE_OR_GENE_PRODUCT']]}
"Tissue-specific expression of interleukin-3 (IL-3) is mediated via cis-acting elements located within 315 base pairs of the transcription start.", {"entities": [[ 30, 43, 'GENE_OR_GENE_PRODUCT']]}
"Tissue-specific expression of interleukin-3 (IL-3) is mediated via cis-acting elements located within 315 base pairs of the transcription start.", {"entities": [[ 45, 49, 'GENE_OR_GENE_PRODUCT']]}
"CD30 is a recently described member of the tumor necrosis factor/nerve growth factor receptor superfamily.", {"entities": [[ 0, 4, 'GENE_OR_GENE_PRODUCT']]}
"The highly specific granulomonocyte-associated lysosomal proteins myeloperoxidase (MPO) and lysozyme (LZ), as well as the transcription factor PU.1, were already detectable in the most immature CD34+Thy-1+ subset.", {"entities": [[ 66, 81, 'GENE_OR_GENE_PRODUCT']]}
"The highly specific granulomonocyte-associated lysosomal proteins myeloperoxidase (MPO) and lysozyme (LZ), as well as the transcription factor PU.1, were already detectable in the most immature CD34+Thy-1+ subset.", {"entities": [[ 83, 86, 'GENE_OR_GENE_PRODUCT']]}
"The highly specific granulomonocyte-associated lysosomal proteins myeloperoxidase (MPO) and lysozyme (LZ), as well as the transcription factor PU.1, were already detectable in the most immature CD34+Thy-1+ subset.", {"entities": [[ 92, 100, 'GENE_OR_GENE_PRODUCT']]}
"The highly specific granulomonocyte-associated lysosomal proteins myeloperoxidase (MPO) and lysozyme (LZ), as well as the transcription factor PU.1, were already detectable in the most immature CD34+Thy-1+ subset.", {"entities": [[ 102, 104, 'GENE_OR_GENE_PRODUCT']]}
"The highly specific granulomonocyte-associated lysosomal proteins myeloperoxidase (MPO) and lysozyme (LZ), as well as the transcription factor PU.1, were already detectable in the most immature CD34+Thy-1+ subset.", {"entities": [[ 143, 147, 'GENE_OR_GENE_PRODUCT']]}
"The chemokine receptor, BLR1, is a major regulator of the microenvironmental homing of B cells in lymphoid organs.", {"entities": [[ 24, 28, 'GENE_OR_GENE_PRODUCT']]}
"The therapeutic potential of drugs that block the induction of cyclooxygenase-2 has been emphasized.", {"entities": [[ 63, 79, 'GENE_OR_GENE_PRODUCT']]}
"Jagged1 belongs to the DSL family of ligands for Notch receptors that control the proliferation and differentiation of various cell lineages.", {"entities": [[ 0, 7, 'GENE_OR_GENE_PRODUCT']]}
"Interleukin-10 (IL-10) is a potent monocyte regulatory cytokine that inhibits gene expression of proinflammatory mediators.", {"entities": [[ 0, 14, 'GENE_OR_GENE_PRODUCT']]}
"Interleukin-10 (IL-10) is a potent monocyte regulatory cytokine that inhibits gene expression of proinflammatory mediators.", {"entities": [[ 16, 21, 'GENE_OR_GENE_PRODUCT']]}
"PU.1 is a hematopoietic transcription factor belonging to the Ets-family.", {"entities": [[ 0, 4, 'GENE_OR_GENE_PRODUCT']]}
"In order to understand the role of NF-kappaB in EBV transformation we have established stably transfected IkappaBalpha into lymphoblastoid cells.", {"entities": [[ 35, 44, 'GENE_OR_GENE_PRODUCT']]}
"Irrespective of the etiology, many kidney diseases result in inflammation and fibrosis of the tubulointerstitium, with the subsequent loss of renal function.", {"entities": [[ 35, 41, 'ORGAN']]}
"The alpha2beta1 integrin, a collagen receptor on platelets and megakaryocytes, is required for normal platelet function.", {"entities": [[ 49, 57, 'CELL']]}
"The alpha2beta1 integrin, a collagen receptor on platelets and megakaryocytes, is required for normal platelet function.", {"entities": [[ 63, 76, 'CELL']]}
"Using the coiled-coil region of Stat5b as the bait in a yeast two-hybrid screen, we identified the association of Nmi, a protein of unknown function previously reported as an N-Myc interactor.", {"entities": [[ 32, 38, 'GENE_OR_GENE_PRODUCT']]}
"Using the coiled-coil region of Stat5b as the bait in a yeast two-hybrid screen, we identified the association of Nmi, a protein of unknown function previously reported as an N-Myc interactor.", {"entities": [[ 56, 61, 'ORGANISM']]}
"Using the coiled-coil region of Stat5b as the bait in a yeast two-hybrid screen, we identified the association of Nmi, a protein of unknown function previously reported as an N-Myc interactor.", {"entities": [[ 114, 117, 'GENE_OR_GENE_PRODUCT']]}
"In vitro labeled receptors were incubated with various synthetic or natural agonists or antagonists and submitted to trypsin digestion.", {"entities": [[ 88, 98, 'SIMPLE_CHEMICAL']]}
"In vitro labeled receptors were incubated with various synthetic or natural agonists or antagonists and submitted to trypsin digestion.", {"entities": [[ 117, 124, 'GENE_OR_GENE_PRODUCT']]}
"The amount of trypsin-resistant fragments was proportional to receptor occupancy by the ligand, and allowed the determination of dissociation constants (kDa).", {"entities": [[ 14, 21, 'GENE_OR_GENE_PRODUCT']]}
"The human autosomal recessive disease, xeroderma pigmentosum (XP), can result from mutations in any one of seven genes, designated XPA through XPG.", {"entities": [[ 131, 134, 'GENE_OR_GENE_PRODUCT']]}
"The human autosomal recessive disease, xeroderma pigmentosum (XP), can result from mutations in any one of seven genes, designated XPA through XPG.", {"entities": [[ 143, 146, 'GENE_OR_GENE_PRODUCT']]}
"In a previous study, we demonstrated that bufalin, which is an active principle of Chinese medicine, chan'su, caused apoptosis in human leukemia U937 cells by anomalous activation of mitogen-activated protein kinase (MAPK) via the signaling pathway of Ras, Raf-1, and MAPK kinase-1.", {"entities": [[ 42, 49, 'SIMPLE_CHEMICAL']]}
"The purpose of this study was to examine the effects of bis[4-[2,4-dioxo-5-thiazolidinyl)methyl]phenyl]methane (YM-268), a thiazolidinedione derivative, on glucose uptake, adipocyte differentiation through peroxisome proliferator-activated receptor gamma(PPARgamma), and phosphatidylinositol 3-kinase (PI 3-kinase) activity in cultured cells.", {"entities": [[ 56, 110, 'SIMPLE_CHEMICAL']]}
"The purpose of this study was to examine the effects of bis[4-[2,4-dioxo-5-thiazolidinyl)methyl]phenyl]methane (YM-268), a thiazolidinedione derivative, on glucose uptake, adipocyte differentiation through peroxisome proliferator-activated receptor gamma(PPARgamma), and phosphatidylinositol 3-kinase (PI 3-kinase) activity in cultured cells.", {"entities": [[ 112, 118, 'SIMPLE_CHEMICAL']]}
"Most erythroleukemic cell lines established in vitro coexpress erythrocytic and megakaryocytic markers that often are associated with expression of Spi-1 and/or Fli-1 transcription factors known as transactivators of megakaryocyte-specific promoters.", {"entities": [[ 148, 153, 'GENE_OR_GENE_PRODUCT']]}
"Most erythroleukemic cell lines established in vitro coexpress erythrocytic and megakaryocytic markers that often are associated with expression of Spi-1 and/or Fli-1 transcription factors known as transactivators of megakaryocyte-specific promoters.", {"entities": [[ 161, 166, 'GENE_OR_GENE_PRODUCT']]}
"Interstitial collagenase (MMP-1), a metalloproteinase produced by resident and inflammatory cells during connective tissue turnover, cleaves type I collagen fibrils.", {"entities": [[ 13, 24, 'GENE_OR_GENE_PRODUCT']]}
"Interstitial collagenase (MMP-1), a metalloproteinase produced by resident and inflammatory cells during connective tissue turnover, cleaves type I collagen fibrils.", {"entities": [[ 26, 31, 'GENE_OR_GENE_PRODUCT']]}
"We have examined binding of the nuclear protein HMG-I to the human gamma-globin promoter.", {"entities": [[ 48, 53, 'GENE_OR_GENE_PRODUCT']]}
"The anaphylatoxins C5a and C3a are involved in the regulation of cytokine production.", {"entities": [[ 19, 22, 'GENE_OR_GENE_PRODUCT']]}
"The anaphylatoxins C5a and C3a are involved in the regulation of cytokine production.", {"entities": [[ 27, 30, 'GENE_OR_GENE_PRODUCT']]}
"In this study the capability of C5a and C3a to induce transcription factor activation was examined.", {"entities": [[ 32, 35, 'GENE_OR_GENE_PRODUCT']]}
"In this study the capability of C5a and C3a to induce transcription factor activation was examined.", {"entities": [[ 40, 43, 'GENE_OR_GENE_PRODUCT']]}
"The development of chronic eosinophilic inflammation is dependent on interleukin-5 (IL-5), a selective eosinophil-activating factor, produced by helper T cells.", {"entities": [[ 69, 82, 'GENE_OR_GENE_PRODUCT']]}
"The development of chronic eosinophilic inflammation is dependent on interleukin-5 (IL-5), a selective eosinophil-activating factor, produced by helper T cells.", {"entities": [[ 84, 88, 'GENE_OR_GENE_PRODUCT']]}
"LMP-1, an Epstein-Barr virus membrane protein expressed during latent infection, has oncogenic properties, as judged from its ability to transform B lymphocytes and rodent fibroblasts.", {"entities": [[ 0, 5, 'GENE_OR_GENE_PRODUCT']]}
"CD40 activation of B cells is strongly influenced by the presence of cytokines.", {"entities": [[ 0, 4, 'GENE_OR_GENE_PRODUCT']]}
"Proteins of the ATF/CREB class of transcription factors stimulate gene expression of several cell growth-related genes through protein kinase A-related cAMP response elements.", {"entities": [[ 20, 24, 'GENE_OR_GENE_PRODUCT']]}
