A total of 65 VIP variants located within 33 candidate genes were randomly selected from the PharmGKB database and genotyped using the MassARRAY (iPLEX GOLD) system	93	101	DATABASE	PharmGKB
Though, projects like the HapMap increase credibility and use of SNPs, still there are some concern like the required sample (patient) sizes, the number of SNPs required for mapping, number of association studies, the cost of SNP genotyping, and the interpretation and explanation of results are some of the challenges that surround this field	26	32	DATABASE	HapMap
We identified several methods and combinations of techniques registered in the Genetic Testing Registry (GTR), which can be used to guide therapy with drugs for which pharmacogenomic-related information is provided in the European public assessment reports	79	103	DATABASE	Genetic Testing Registry
The International HapMap Project provides a key resource of genotypic data on human lymphoblastoid cell lines derived from four major world populations of European, African, Chinese and Japanese ancestry for researchers to associate with various phenotypic data to find genes affecting health, disease and response to drugs	18	24	DATABASE	HapMap
Recent progress in dissecting genetic contribution to natural variation in gene expression within and among human populations and variation in drug response are two examples in which researchers have utilized the HapMap resource	213	219	DATABASE	HapMap
The HapMap Project provides new insights into the human genome and has applicability to pharmacogenomics studies leading to personalized medicine	4	10	DATABASE	HapMap
To promote implementation, the Dutch Pharmacogenetics Working Group (DPWG) develops evidence-based guidelines on how to optimize pharmacotherapy based on PGx test results	31	67	DATABASE	Dutch Pharmacogenetics Working Group
MATERIAL AND METHODS In this study, we genotyped 66 Very Important Pharmacogene (VIP) variants selected from PharmGKB in 98 unrelated, healthy Miao individuals from the Guizhou province and compared our data with 12 other populations, including 11 populations from the HapMap data set and Xi'an Han Chinese	269	275	DATABASE	HapMap
MATERIAL AND METHODS In this study, we genotyped 66 Very Important Pharmacogene (VIP) variants selected from PharmGKB in 98 unrelated, healthy Miao individuals from the Guizhou province and compared our data with 12 other populations, including 11 populations from the HapMap data set and Xi'an Han Chinese	109	117	DATABASE	PharmGKB
This paper presents a brief overview of the many available public resources for cheminformatics (DrugBank, PharmGKB and other drugrelated databases) and SNPs (dbSNP, HapMap, SNP500Cancer, SNP-RFLPing 2 and other SNP tools) and points out the importance of integrating cheminformatic and SNP resources for the future of pharmacogenomics	166	172	DATABASE	HapMap
This paper presents a brief overview of the many available public resources for cheminformatics (DrugBank, PharmGKB and other drugrelated databases) and SNPs (dbSNP, HapMap, SNP500Cancer, SNP-RFLPing 2 and other SNP tools) and points out the importance of integrating cheminformatic and SNP resources for the future of pharmacogenomics	107	115	DATABASE	PharmGKB
In recent years, clinical pharmacogenetics has accumulated knowledge in pediatric pharmacotherapy, and guidelines from professional organizations, such as the Clinical Pharmacogenetics Implementation Consortium, can be consulted to determine the efficacy of specific drugs and the risk of adverse effects	159	210	DATABASE	Clinical Pharmacogenetics Implementation Consortium
One of the goals of the Clinical Pharmacogenetics Implementation Consortium (CPIC) of the National Institutes of Health’s Pharmacogenomics Research Network (http://www	24	75	DATABASE	Clinical Pharmacogenetics Implementation Consortium
org) and the Pharmacogenomics Knowledge Base (PharmGKB, http://www	46	54	DATABASE	PharmGKB
Currently, there are few organizations/associations responsible for releasing those guidelines, including the Clinical Pharmacogenetics Implementation Consortium, Dutch Pharmacogenetics Working Group, the Canadian Pharmacogenomics Network for Drug Safety and the French National Network of Pharmacogenetics	110	161	DATABASE	Clinical Pharmacogenetics Implementation Consortium
Currently, there are few organizations/associations responsible for releasing those guidelines, including the Clinical Pharmacogenetics Implementation Consortium, Dutch Pharmacogenetics Working Group, the Canadian Pharmacogenomics Network for Drug Safety and the French National Network of Pharmacogenetics	163	199	DATABASE	Dutch Pharmacogenetics Working Group
Several large resources of curated relations between biomedical entities are currently available, such as the Pharmacogenomics Knowledge Base (PharmGKB) or the Comparative Toxicogenomics Database (CTD)	143	151	DATABASE	PharmGKB
Analyses with the use of imputation-based methods to combine genotype data from both studies and to test untyped SNPs from the HapMap database identified several SNPs within a 5 kb region of HNF1A intron 1 with the strongest evidence of association with CRP phenotype	127	133	DATABASE	HapMap
The candidate gene approach has been traditionally utilized to determine the contribution of genetic variation to a particular phenotype; however, the sequencing of the human genome and the genetic resource provided by the International HapMap Project has allowed researchers to perform genome-wide studies without a priori knowledge	237	243	DATABASE	HapMap
